name,rating,reviewCount,price,Afghan, African, American(New), American(Traditional), AsianFusion, Barbeque, Brasseries, Breakfast&Brunch, British, Buffets, Burgers, Cafes, Cantonese, Caribbean, ChickenWings, Chinese, ComfortFood, Creperies, Cuban, Delis, Diners, Ethiopian, FastFood, Fish&Chips, French, Gastropubs, German, Gluten-Free, Greek, Himalayan/Nepalese, HotDogs, Indian, Irish, Italian, Japanese, Korean, Kosher, LatinAmerican, Mediterranean, Mexican, MiddleEastern, ModernEuropean, Moroccan, Pizza, Polish, Ramen, Salad, Sandwiches, Scandinavian, Seafood, SoulFood, Soup, Southern, Spanish, Steakhouses, SushiBars, Szechuan, Tex-Mex, Thai, Turkish, Vegan, Vegetarian, Vietnamese,location,latitude,longitude
112 Eatery,4.5,771,$$$,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Downtown Minneapolis,44.98267,-93.2716
128 Cafe,4,68,$$,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Merriam Park,44.94531,-93.187121
1st Cup Cafe,4.5,2,$,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Longfellow,44.9516716,-93.2373886
1st Wok,3,30,$$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uptown,44.94937987,-93.32100355
1st Wok Chinese Restaurant,3.5,29,$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,44.950324,-93.321818
4 Bells,4,34,$$$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Loring Park,44.97159944,-93.28539288
5-8 Club,3.5,406,$,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nokomis,44.89776,-93.247352
50's Grill,3.5,59,$$,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,45.055503,-93.323075
508 Bar & Restaurant,3,94,$$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Downtown Minneapolis,44.9803332,-93.2740456
50th Street Caf_,4,51,$$,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southwest,44.91284,-93.32811
